           1   1.00000000    
           2   20.0000000    
           3   400.000000    
           4   8000.00000    
           5   160000.000    
           6   3200000.00    
           7   64000000.0    
           8   1.28000000E+09
           9   2.56000000E+10
          10   5.12000000E+11
          11   1.02400000E+13
          12   2.04799996E+14
          13   4.09599998E+15
          14   8.19199986E+16
          15   1.63840001E+18
          16   3.27679996E+19
          17   6.55360018E+20
          18   1.31071998E+22
          19   2.62143996E+23
          20   5.24287999E+24
          21   1.04857602E+26
          22   2.09715204E+27
          23   4.19430391E+28
          24   8.38860781E+29
          25   1.67772162E+31
          26   3.35544344E+32
          27   6.71088657E+33
          28   1.34217736E+35
          29   2.68435473E+36
          30   5.36870920E+37
          31         Infinity
          32         Infinity
          33         Infinity
          34         Infinity
          35         Infinity
          36         Infinity
          37         Infinity
          38         Infinity
          39         Infinity
          40         Infinity
          41         Infinity
          42         Infinity
          43         Infinity
          44         Infinity
          45         Infinity
          46         Infinity
          47         Infinity
          48         Infinity
          49         Infinity
          50         Infinity
          51         Infinity
          52         Infinity
          53         Infinity
          54         Infinity
          55         Infinity
          56         Infinity
          57         Infinity
          58         Infinity
          59         Infinity
          60         Infinity
          61         Infinity
          62         Infinity
          63         Infinity
          64         Infinity
          65         Infinity
          66         Infinity
          67         Infinity
          68         Infinity
          69         Infinity
          70         Infinity
          71         Infinity
          72         Infinity
          73         Infinity
          74         Infinity
          75         Infinity
          76         Infinity
          77         Infinity
          78         Infinity
          79         Infinity
          80         Infinity
          81         Infinity
          82         Infinity
          83         Infinity
          84         Infinity
          85         Infinity
          86         Infinity
          87         Infinity
          88         Infinity
          89         Infinity
          90         Infinity
          91         Infinity
          92         Infinity
          93         Infinity
          94         Infinity
          95         Infinity
          96         Infinity
          97         Infinity
          98         Infinity
          99         Infinity
         100         Infinity
