           1  0.248689905    
           2  0.481753707    
           3  0.684547126    
           4  0.844327927    
           5  0.951056540    
           6  0.998026729    
           7  0.982287228    
           8  0.904826999    
           9  0.770513117    
          10  0.587785184    
          11  0.368124396    
          12  0.125333205    
          13 -0.125333130    
          14 -0.368124545    
          15 -0.587785542    
          16 -0.770513356    
          17 -0.904827178    
          18 -0.982287347    
          19 -0.998026729    
          20 -0.951056480    
          21 -0.844328046    
          22 -0.684546828    
          23 -0.481753290    
          24 -0.248689815    
          25   1.74845553E-07
  0.248689905      0.251327425    
  0.481753707      0.502654850    
  0.684547126      0.753982246    
  0.844327927       1.00530970    
  0.951056540       1.25663710    
  0.998026729       1.50796449    
  0.982287228       1.38230062    
  0.904826999       1.13097322    
  0.770513117      0.879645765    
  0.587785184      0.628318429    
  0.368124396      0.376990944    
  0.125333205      0.125663683    
 -0.125333130     -0.125663608    
 -0.368124545     -0.376991123    
 -0.587785542     -0.628318906    
 -0.770513356     -0.879646122    
 -0.904827178      -1.13097358    
 -0.982287347      -1.38230133    
 -0.998026729      -1.50796449    
 -0.951056480      -1.25663698    
 -0.844328046      -1.00530982    
 -0.684546828     -0.753981829    
 -0.481753290     -0.502654374    
 -0.248689815     -0.251327336    
   1.74845553E-07   1.74845553E-07
