           0           0
           1           2
           1           2
           2           2
           3           3
           5           3
           8           4
          13           5
          21           7
          34           9
          55          11
          89          13
         144          17
         233          21
         377          26
         610          33
         987          41
        1597          51
        2584          64
        4181          80
        6765         101
       10946         126
       17711         159
       28657         199
       46368         251
       75025         316
      121393         397
      196418         501
      317811         631
      514229         797
      832040        1006
     1346269        1270
     2178309        1605
     3524578        2029
     5702887        2566
     9227465        3247
    14930352        4110
    24157817        5204
    39088169        6591
    63245986        8351
   102334155       10583
   165580141       13416
   267914296       17012
   433494437       21577
   701408733       27372
  1134903170       34731
  1836311903       44076
