           1 -0.998026729    
           2 -0.982287347    
           3 -0.951056480    
           4 -0.904827178    
           5 -0.844328046    
           6 -0.770513356    
           7 -0.684546828    
           8 -0.587785542    
           9 -0.481753290    
          10 -0.368124545    
          11 -0.248689815    
          12 -0.125333130    
          13   1.74845553E-07
          14  0.125333205    
          15  0.248689905    
          16  0.368124396    
          17  0.481753707    
          18  0.587785184    
          19  0.684547126    
          20  0.770513117    
          21  0.844327927    
          22  0.904826999    
          23  0.951056540    
          24  0.982287228    
          25  0.998026729    
